Player,Debuted,Debut_age,Retired,Ret_age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,HOF
Hack Wilson,1923,23,1934,34,1348,5557,4760,884,1461,884,266,67,244,1063,52,34.0,674,713.0,0.307,0.395,0.545,0.94,144,2593,15.0,20,102.0,0.0,29.0,1
Dusty Baker,1968,19,1986,37,2039,8022,7117,964,1981,1396,320,23,242,1013,137,73.0,762,926.0,0.278,0.347,0.432,0.779,116,3073,158.0,30,27.0,85.0,52.0,0
Sal Bando,1966,22,1981,37,2019,8289,7060,982,1790,1221,289,38,242,1039,75,46.0,1031,923.0,0.254,0.352,0.408,0.76,119,2881,149.0,75,65.0,57.0,69.0,0
Wally Berger,1930,24,1940,34,1350,5666,5163,809,1550,950,299,59,242,898,36,41.0,435,693.0,0.3,0.359,0.522,0.881,138,2693,69.0,38,27.0,0.0,46.0,0
J.D. Drew,1998,22,2011,35,1566,6153,5173,944,1437,874,273,48,242,795,87,37.0,862,1137.0,0.278,0.384,0.489,0.873,125,2532,84.0,55,19.0,44.0,52.0,0
Aubrey Huff,2000,23,2012,35,1681,6786,6104,806,1699,1073,360,24,242,904,37,25.0,571,907.0,0.278,0.342,0.464,0.806,114,2833,160.0,48,0.0,63.0,80.0,0
David Wright,2004,21,2018,35,1585,6872,5998,949,1777,1119,390,26,242,970,196,65.0,762,1292.0,0.296,0.376,0.491,0.867,133,2945,152.0,45,0.0,65.0,73.0,0
Jesse Barfield,1981,21,1992,32,1428,5394,4759,715,1219,732,216,30,241,716,66,47.0,551,1234.0,0.256,0.335,0.466,0.802,117,2218,100.0,34,16.0,34.0,49.0,0
Cecil Cooper,1971,21,1987,37,1896,7939,7349,1012,2192,1489,415,47,241,1125,89,49.0,448,911.0,0.298,0.337,0.466,0.803,121,3424,150.0,17,46.0,79.0,79.0,0
Rick Monday,1966,20,1984,38,1986,7162,6136,950,1619,1066,248,64,241,775,98,91.0,924,1513.0,0.264,0.361,0.443,0.804,125,2718,71.0,24,46.0,32.0,107.0,0
Jeff Burroughs,1970,19,1985,34,1689,6449,5536,720,1443,953,230,20,240,882,16,22.0,831,1135.0,0.261,0.355,0.439,0.795,121,2433,148.0,15,4.0,63.0,65.0,0
Roberto Clemente,1955,20,1972,37,2433,10212,9454,1416,3000,2154,440,166,240,1305,83,46.0,621,1230.0,0.317,0.359,0.475,0.834,130,4492,275.0,35,36.0,66.0,167.0,1
Dolph Camilli,1933,26,1945,38,1490,6354,5353,936,1482,896,261,86,239,950,60,45.0,947,961.0,0.277,0.388,0.492,0.88,136,2632,80.0,28,24.0,0.0,87.0,0
Ken Caminiti,1987,24,2001,38,1760,7127,6288,894,1710,1106,348,17,239,983,88,39.0,727,1163.0,0.272,0.347,0.447,0.794,116,2809,152.0,29,14.0,67.0,112.0,0
Earl Averill,1929,27,1941,39,1669,7221,6353,1224,2019,1252,401,128,238,1164,70,58.0,774,518.0,0.318,0.395,0.534,0.928,133,3390,7.0,33,55.0,0.0,36.0,1
Ray Lankford,1990,23,2004,37,1701,6675,5747,968,1561,913,356,54,238,874,258,117.0,828,1550.0,0.272,0.364,0.477,0.84,123,2739,77.0,36,10.0,53.0,68.0,0
Doug DeCinces,1973,22,1987,36,1649,6534,5809,778,1505,927,312,29,237,879,58,48.0,618,904.0,0.259,0.329,0.445,0.774,115,2586,176.0,21,22.0,64.0,57.0,0
Gus Zernial,1949,26,1959,36,1234,4562,4131,572,1093,675,159,22,237,776,15,7.0,383,755.0,0.265,0.329,0.486,0.815,116,2007,106.0,24,3.0,20.0,39.0,0
Gabby Hartnett,1922,21,1941,40,1990,7300,6432,867,1912,1216,396,64,236,1179,28,32.0,703,697.0,0.297,0.37,0.489,0.858,126,3144,93.0,35,127.0,0.0,114.0,1
Johnny Damon,1995,21,2012,38,2490,10917,9736,1668,2769,1903,522,109,235,1139,408,103.0,1003,1257.0,0.284,0.352,0.433,0.785,104,4214,93.0,50,57.0,71.0,38.0,0
Bill Nicholson,1936,21,1953,38,1677,6420,5546,837,1484,917,272,60,235,948,27,25.0,800,828.0,0.268,0.365,0.465,0.83,132,2581,61.0,52,20.0,0.0,131.0,0
Ben Oglivie,1971,22,1986,37,1754,6598,5913,784,1615,1070,277,33,235,901,87,70.0,560,852.0,0.273,0.336,0.45,0.786,118,2663,122.0,35,21.0,69.0,105.0,0
Dan Uggla,2006,26,2015,35,1346,5509,4759,759,1149,658,238,18,235,706,26,21.0,626,1341.0,0.241,0.336,0.447,0.783,107,2128,74.0,70,12.0,42.0,22.0,0
Gary Matthews,1972,21,1987,36,2033,8189,7147,1083,2011,1407,319,51,234,978,183,74.0,940,1125.0,0.281,0.364,0.439,0.802,118,3134,179.0,21,19.0,62.0,46.0,0
Kevin Mitchell,1984,22,1998,36,1223,4696,4134,630,1173,690,224,25,234,760,30,31.0,491,719.0,0.284,0.36,0.52,0.88,142,2149,89.0,27,2.0,42.0,87.0,0
Paul Molitor,1978,21,1998,41,2683,12167,10835,1782,3319,2366,605,114,234,1307,504,131.0,1094,1244.0,0.306,0.369,0.448,0.817,122,4854,209.0,47,75.0,109.0,100.0,1
Cliff Floyd,1993,20,2009,36,1621,6063,5319,824,1479,883,340,23,233,865,148,43.0,601,1064.0,0.278,0.358,0.482,0.84,119,2564,85.0,91,4.0,48.0,87.0,0
Jimmy Rollins,2000,21,2016,37,2275,10240,9294,1421,2455,1598,511,115,231,936,470,105.0,813,1264.0,0.264,0.324,0.418,0.743,95,3889,136.0,38,42.0,53.0,52.0,0
Rob Deer,1984,23,1996,35,1155,4513,3881,578,853,462,148,13,230,600,43,31.0,575,1409.0,0.22,0.324,0.442,0.766,109,1717,38.0,32,2.0,22.0,27.0,0
Nomar Garciaparra,1996,22,2009,35,1434,6116,5586,927,1747,1096,370,52,229,936,95,31.0,403,554.0,0.313,0.361,0.521,0.882,124,2908,129.0,59,5.0,63.0,54.0,0
Jayson Werth,2002,23,2017,38,1583,6366,5484,883,1465,914,300,22,229,799,132,23.0,764,1450.0,0.267,0.36,0.455,0.816,117,2496,99.0,64,4.0,50.0,32.0,0
Howard Johnson,1982,21,1995,34,1531,5715,4940,760,1229,732,247,22,228,760,231,77.0,692,1053.0,0.249,0.34,0.446,0.786,118,2204,61.0,17,9.0,57.0,105.0,0
Dick Stuart,1958,25,1969,36,1112,4363,3997,506,1055,640,157,30,228,743,2,7.0,301,957.0,0.264,0.316,0.489,0.806,117,1956,118.0,22,6.0,37.0,34.0,0
