Player,Debuted,Debut_age,Retired,Ret_age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,HOF
Jeff Francoeur,2005,21,2016,32,1480,5661,5260,626,1373,905,281,27,160,698,54,39.0,284,1080.0,0.261,0.303,0.416,0.719,91,2188,126.0,60,2.0,54.0,48.0,0
Bill Melton,1968,22,1977,31,1144,4558,3971,496,1004,673,162,9,160,591,23,24.0,479,669.0,0.253,0.337,0.419,0.756,112,1664,94.0,44,20.0,43.0,29.0,0
Brandon Moss,2007,23,2017,33,1016,3521,3133,419,742,406,159,17,160,473,11,11.0,328,968.0,0.237,0.314,0.452,0.766,106,1415,54.0,36,0.0,24.0,23.0,0
Tony Phillips,1982,23,1999,40,2161,9110,7617,1300,2023,1453,360,50,160,819,177,114.0,1319,1499.0,0.266,0.374,0.389,0.763,109,2963,127.0,42,69.0,63.0,44.0,0
Henry Rodriguez,1992,24,2002,34,950,3343,3031,389,784,439,176,9,160,523,10,14.0,276,803.0,0.259,0.321,0.481,0.802,108,1458,53.0,11,2.0,23.0,33.0,0
Pete Rose,1963,22,1986,45,3562,15890,14053,2165,4256,3215,746,135,160,1314,198,149.0,1566,1143.0,0.303,0.375,0.409,0.784,118,5752,247.0,107,56.0,79.0,167.0,0
Frank White,1973,22,1990,39,2324,8468,7859,912,2006,1381,407,58,160,886,178,83.0,412,1035.0,0.255,0.293,0.383,0.675,85,3009,156.0,30,101.0,65.0,27.0,0
Roy White,1965,21,1979,35,1881,7736,6650,964,1803,1292,300,51,160,758,233,117.0,934,708.0,0.271,0.36,0.404,0.764,121,2685,123.0,29,53.0,69.0,66.0,0
Marlon Byrd,2002,24,2016,38,1573,6123,5579,740,1534,1025,311,39,159,710,56,31.0,382,1234.0,0.275,0.329,0.43,0.759,102,2400,115.0,93,17.0,52.0,30.0,0
Donn Clendenon,1961,25,1972,36,1362,5112,4648,594,1273,865,192,57,159,682,90,57.0,379,1140.0,0.274,0.328,0.442,0.771,117,2056,123.0,21,17.0,47.0,46.0,0
Jim Hickman,1962,25,1974,37,1421,4536,3974,518,1002,655,163,25,159,560,17,19.0,491,832.0,0.252,0.335,0.426,0.76,108,1692,99.0,16,25.0,29.0,36.0,0
Chris Carter,2010,23,2017,30,750,2853,2469,334,536,266,107,5,158,400,12,5.0,327,951.0,0.217,0.312,0.456,0.768,108,1127,56.0,26,0.0,30.0,10.0,0
Alex Gonzalez,1998,21,2014,37,1609,6248,5776,667,1418,898,332,31,157,690,30,22.0,300,1168.0,0.245,0.29,0.395,0.685,79,2283,138.0,79,50.0,43.0,48.0,0
Juan Encarnacion,1997,21,2007,31,1259,5095,4685,618,1264,820,242,46,156,667,127,59.0,288,853.0,0.27,0.317,0.441,0.758,97,2066,116.0,54,27.0,41.0,13.0,0
Ken McMullen,1962,20,1977,35,1583,5731,5131,568,1273,919,172,26,156,606,20,19.0,510,815.0,0.248,0.316,0.383,0.699,104,1965,134.0,17,34.0,38.0,47.0,0
Bob Meusel,1920,23,1930,33,1407,6031,5475,826,1693,1074,368,95,156,1071,143,109.0,375,619.0,0.309,0.356,0.497,0.852,118,2719,0.0,21,157.0,0.0,7.0,0
Ed Bailey,1953,22,1966,35,1212,4212,3581,432,915,617,128,15,155,540,17,18.0,545,577.0,0.256,0.355,0.429,0.784,110,1538,81.0,25,20.0,37.0,81.0,0
Kelly Johnson,2005,23,2016,34,1399,5139,4543,632,1140,715,230,40,155,550,87,36.0,516,1145.0,0.251,0.33,0.422,0.751,101,1915,70.0,28,28.0,22.0,19.0,0
Sherm Lollar,1946,21,1963,38,1752,6221,5351,623,1415,1002,244,14,155,808,20,10.0,671,453.0,0.264,0.357,0.402,0.759,104,2152,184.0,115,47.0,34.0,68.0,0
Davey Lopes,1972,27,1987,42,1812,7340,6354,1023,1671,1234,232,50,155,614,557,114.0,833,852.0,0.263,0.349,0.388,0.737,107,2468,126.0,31,74.0,48.0,38.0,0
Doug Rader,1967,22,1977,32,1465,5832,5186,631,1302,863,245,39,155,722,37,33.0,528,1055.0,0.251,0.322,0.403,0.725,106,2090,142.0,40,27.0,51.0,51.0,0
Jeff King,1989,24,1999,34,1201,4812,4262,600,1091,697,222,18,154,709,75,32.0,442,584.0,0.256,0.324,0.425,0.749,99,1811,97.0,20,17.0,71.0,27.0,0
Ryan Ludwick,2002,23,2014,35,1065,3986,3549,454,923,560,201,8,154,587,17,20.0,339,888.0,0.26,0.33,0.451,0.781,109,1602,64.0,45,10.0,30.0,16.0,0
Carlos Quentin,2006,23,2014,31,834,3247,2790,416,702,369,173,6,154,491,16,9.0,298,516.0,0.252,0.347,0.484,0.831,120,1349,79.0,127,2.0,30.0,10.0,0
Bill Terry,1923,24,1936,37,1721,7111,6428,1120,2193,1554,373,112,154,1078,56,63.0,537,449.0,0.341,0.393,0.506,0.899,136,3252,38.0,9,137.0,0.0,32.0,1
Hank Blalock,2002,21,2010,29,936,3928,3567,507,959,591,198,17,153,542,14,7.0,313,720.0,0.269,0.329,0.463,0.791,101,1650,87.0,19,2.0,27.0,22.0,0
Tommy Davis,1959,20,1976,37,1999,7739,7223,811,2121,1661,272,35,153,1052,136,59.0,381,754.0,0.294,0.329,0.405,0.733,108,2922,219.0,32,35.0,68.0,66.0,0
Dan Driessen,1973,21,1987,35,1732,6344,5479,746,1464,1006,282,23,153,763,154,63.0,761,719.0,0.267,0.356,0.411,0.767,113,2251,128.0,28,11.0,65.0,100.0,0
Jim Northrup,1964,24,1975,35,1392,5215,4692,603,1254,841,218,42,153,610,39,38.0,449,635.0,0.267,0.333,0.429,0.763,116,2015,128.0,30,15.0,29.0,50.0,0
Tom Tresh,1961,22,1969,30,1192,4897,4251,595,1041,675,179,34,153,530,45,25.0,550,698.0,0.245,0.335,0.411,0.746,113,1747,67.0,40,21.0,33.0,30.0,0
Walt Dropo,1949,26,1961,38,1288,4522,4124,478,1113,771,168,22,152,704,5,6.0,328,582.0,0.27,0.326,0.432,0.757,100,1781,166.0,24,22.0,23.0,22.0,0
Ken Griffey,1973,23,1991,41,2097,8049,7229,1129,2143,1550,364,77,152,859,200,83.0,719,898.0,0.296,0.359,0.431,0.79,118,3117,106.0,14,31.0,55.0,51.0,0
Brandon Inge,2001,24,2013,36,1532,5617,5014,563,1166,748,228,38,152,648,45,40.0,443,1306.0,0.233,0.301,0.384,0.685,82,1926,102.0,68,45.0,47.0,16.0,0
Ed Sprague,1991,23,2001,33,1203,4587,4095,506,1010,621,225,12,152,558,6,12.0,358,833.0,0.247,0.318,0.419,0.737,91,1715,106.0,91,6.0,37.0,21.0,0
Ray Boone,1948,24,1960,36,1373,5299,4589,644,1260,901,162,46,151,737,21,19.0,608,463.0,0.275,0.361,0.429,0.789,114,1967,133.0,27,45.0,28.0,35.0,0
Jim Fregosi,1961,19,1978,36,1902,7404,6523,844,1726,1233,264,78,151,706,76,40.0,715,1097.0,0.265,0.338,0.398,0.736,113,2599,125.0,32,79.0,53.0,48.0,0
Chris Hoiles,1989,24,1998,33,894,3339,2820,415,739,464,122,2,151,449,5,7.0,435,616.0,0.262,0.366,0.467,0.833,119,1318,65.0,44,11.0,28.0,17.0,0
Carney Lansford,1978,21,1992,35,1862,7905,7158,1007,2074,1551,332,40,151,874,224,104.0,553,719.0,0.29,0.343,0.411,0.753,111,2939,166.0,64,53.0,77.0,45.0,0
Lyle Overbay,2001,24,2014,37,1587,5802,5102,645,1355,836,356,12,151,675,19,7.0,638,1108.0,0.266,0.347,0.429,0.776,106,2188,149.0,18,3.0,35.0,57.0,0
Shawon Dunston,1985,22,2002,39,1814,6276,5927,736,1597,1093,292,62,150,668,212,82.0,203,1000.0,0.269,0.296,0.416,0.712,89,2463,98.0,41,56.0,49.0,44.0,0
Mike Lieberthal,1994,22,2007,35,1212,4695,4218,534,1155,738,257,10,150,610,8,7.0,335,571.0,0.274,0.337,0.446,0.783,101,1882,114.0,89,10.0,43.0,34.0,0
Grady Sizemore,2004,21,2015,32,1101,4724,4147,660,1098,649,252,47,150,518,143,47.0,483,952.0,0.265,0.349,0.457,0.806,115,1894,49.0,67,8.0,19.0,34.0,0
Kevin Youkilis,2004,25,2013,34,1061,4436,3749,653,1053,631,254,18,150,618,26,14.0,539,828.0,0.281,0.382,0.478,0.861,124,1793,74.0,104,0.0,44.0,22.0,0
Lou Brock,1961,22,1979,40,2616,11240,10332,1610,3023,2247,486,141,149,900,938,307.0,761,1730.0,0.293,0.343,0.41,0.753,109,4238,114.0,49,47.0,46.0,124.0,1
Hubie Brooks,1980,23,1994,37,1645,6476,5974,656,1608,1138,290,31,149,824,64,56.0,387,1005.0,0.269,0.315,0.403,0.717,100,2407,163.0,38,12.0,65.0,62.0,0
Cory Snyder,1986,23,1994,31,1068,3933,3656,439,902,562,178,13,149,488,28,19.0,226,992.0,0.247,0.291,0.425,0.716,96,1553,74.0,13,11.0,27.0,25.0,0
Earl Torgeson,1947,23,1961,37,1668,6046,4969,848,1318,908,215,46,149,740,133,58.0,980,653.0,0.265,0.385,0.417,0.802,117,2072,113.0,8,55.0,25.0,54.0,0
George Kelly,1915,19,1932,36,1622,6570,5993,819,1778,1217,337,76,148,1020,65,64.0,386,694.0,0.297,0.342,0.452,0.794,109,2711,0.0,28,158.0,0.0,14.0,1
Willie Kirkland,1958,24,1966,32,1149,3882,3494,443,837,526,134,29,148,509,52,19.0,323,648.0,0.24,0.304,0.422,0.726,98,1473,45.0,15,16.0,34.0,38.0,0
Sixto Lezcano,1974,20,1985,31,1291,4814,4134,560,1122,756,184,34,148,591,37,31.0,576,768.0,0.271,0.36,0.44,0.799,124,1818,96.0,19,39.0,46.0,37.0,0
Mike Marshall,1981,21,1991,31,1035,3908,3593,433,971,642,173,8,148,530,26,33.0,247,810.0,0.27,0.321,0.446,0.768,115,1604,79.0,37,3.0,28.0,33.0,0
Charlie Maxwell,1950,23,1964,37,1133,3796,3245,480,856,572,110,26,148,532,18,7.0,484,545.0,0.264,0.36,0.451,0.811,116,1462,45.0,22,16.0,29.0,32.0,0
Billy Butler,2007,21,2016,30,1414,5686,5105,592,1479,1005,322,5,147,728,5,3.0,500,840.0,0.29,0.354,0.441,0.795,116,2252,207.0,34,0.0,47.0,59.0,0
Leon Durham,1980,22,1989,31,1067,4067,3587,522,992,613,192,40,147,530,106,61.0,444,679.0,0.277,0.356,0.475,0.831,125,1705,49.0,9,3.0,24.0,96.0,0
Ruppert Jones,1976,21,1987,32,1331,5041,4415,643,1103,703,215,38,147,579,143,84.0,534,817.0,0.25,0.33,0.416,0.746,106,1835,87.0,12,43.0,34.0,38.0,0
Gene Woodling,1943,20,1962,39,1796,6618,5587,830,1585,1118,257,63,147,830,29,47.0,921,477.0,0.284,0.386,0.431,0.817,123,2409,110.0,28,46.0,31.0,53.0,0
Edgardo Alfonzo,1995,21,2006,32,1506,6108,5385,777,1532,1086,282,18,146,744,53,17.0,596,617.0,0.284,0.357,0.425,0.782,105,2288,110.0,41,31.0,55.0,22.0,0
Oscar Charleston,1920,23,1941,44,931,3927,3354,861,1221,752,243,80,146,861,210,0.0,483,0.0,0.364,0.448,0.615,1.063,184,2062,0.0,28,62.0,0.0,0.0,1
Tommy Harper,1962,21,1976,35,1810,7164,6269,972,1609,1171,256,36,146,567,408,116.0,753,1080.0,0.257,0.338,0.379,0.717,101,2375,87.0,35,76.0,31.0,30.0,0
Candy Maldonado,1981,20,1995,34,1410,4590,4106,498,1042,652,227,17,146,618,34,33.0,391,864.0,0.254,0.322,0.424,0.746,107,1741,98.0,41,11.0,41.0,32.0,0
Jim Spencer,1968,20,1982,34,1553,5409,4908,541,1227,875,179,27,146,599,11,19.0,407,582.0,0.25,0.307,0.387,0.694,98,1898,124.0,17,35.0,42.0,86.0,0
Miguel Olivo,2002,23,2014,35,1124,3993,3765,435,905,557,177,26,145,490,53,34.0,158,1060.0,0.24,0.275,0.417,0.691,82,1569,77.0,29,17.0,24.0,19.0,0
Jose Reyes,2003,20,2018,35,1877,8240,7552,1180,2138,1475,387,131,145,719,517,127.0,589,914.0,0.283,0.334,0.427,0.761,103,3222,82.0,11,50.0,38.0,56.0,0
Charlie Hayes,1988,23,2001,36,1547,5766,5262,580,1379,968,251,16,144,740,47,31.0,420,918.0,0.262,0.316,0.398,0.714,89,2094,155.0,21,12.0,50.0,30.0,0
Jeffrey Leonard,1977,21,1990,34,1415,5476,5045,614,1342,938,223,37,144,723,163,61.0,342,1000.0,0.266,0.312,0.411,0.723,102,2071,146.0,23,8.0,58.0,41.0,0
Bengie Molina,1998,23,2010,35,1362,5159,4812,457,1317,950,217,6,144,711,3,7.0,208,471.0,0.274,0.307,0.411,0.718,86,1978,173.0,49,27.0,63.0,26.0,0
Lee Stevens,1990,22,2002,34,1012,3724,3332,440,847,503,185,15,144,531,9,16.0,345,832.0,0.254,0.323,0.448,0.772,98,1494,93.0,10,5.0,32.0,50.0,0
Hank Thompson,1943,17,1956,30,1087,4217,3572,625,983,657,133,49,144,568,57,24.0,557,337.0,0.275,0.376,0.461,0.837,123,1646,46.0,28,43.0,15.0,25.0,0
Kevin Young,1992,23,2003,34,1205,4352,3897,536,1007,611,235,17,144,606,83,49.0,336,882.0,0.258,0.324,0.438,0.762,95,1708,105.0,62,9.0,47.0,18.0,0
Von Hayes,1981,22,1992,33,1495,6052,5249,767,1402,941,282,36,143,696,253,97.0,712,804.0,0.267,0.354,0.416,0.77,113,2185,100.0,22,19.0,50.0,82.0,0
Joe Mauer,2004,21,2018,35,1858,7960,6930,1018,2123,1522,428,30,143,923,52,19.0,939,1034.0,0.306,0.388,0.439,0.827,124,3040,208.0,25,6.0,60.0,145.0,1
Wally Moon,1954,24,1965,35,1457,5567,4843,737,1399,985,212,60,142,661,89,68.0,644,591.0,0.289,0.371,0.445,0.817,118,2157,121.0,13,31.0,35.0,59.0,0
Scott Brosius,1991,24,2001,34,1146,4356,3889,544,1001,652,200,8,141,531,57,30.0,348,699.0,0.257,0.323,0.422,0.744,94,1640,84.0,47,31.0,41.0,12.0,0
Bo Jackson,1986,23,1994,31,694,2626,2393,341,598,357,86,14,141,415,82,32.0,200,841.0,0.25,0.309,0.474,0.784,112,1135,40.0,14,2.0,17.0,20.0,0
John Jaha,1992,26,2001,35,826,3285,2775,470,730,458,126,5,141,490,36,17.0,430,686.0,0.263,0.369,0.465,0.834,116,1289,71.0,50,6.0,24.0,15.0,0
Jackie Robinson,1945,26,1956,37,1416,5941,4997,972,1563,1081,286,55,141,761,200,76.0,756,291.0,0.313,0.41,0.477,0.887,133,2382,113.0,72,105.0,9.0,61.0,1
Joe Crede,2000,22,2009,31,888,3377,3101,392,787,483,159,5,140,470,4,12.0,199,459.0,0.254,0.304,0.444,0.748,92,1376,69.0,38,8.0,31.0,6.0,0
Pedro Feliz,2000,25,2010,35,1302,4544,4254,487,1065,691,209,25,140,598,13,12.0,230,663.0,0.25,0.288,0.41,0.698,80,1744,124.0,10,11.0,39.0,18.0,0
Pinky Higgins,1930,21,1946,37,1802,7558,6636,931,1941,1376,374,51,140,1075,61,59.0,800,590.0,0.292,0.37,0.428,0.798,107,2837,112.0,22,96.0,0.0,40.0,0
Jason Kubel,2004,22,2014,32,1036,3883,3480,442,913,567,187,19,140,564,12,7.0,355,834.0,0.262,0.33,0.448,0.777,108,1558,89.0,11,3.0,34.0,34.0,0
Terry Pendleton,1984,23,1998,37,1893,7637,7032,851,1897,1362,356,39,140,946,127,59.0,486,979.0,0.27,0.316,0.391,0.707,92,2751,178.0,15,37.0,67.0,77.0,0
Edgar Renteria,1996,19,2011,34,2152,9066,8142,1200,2327,1722,436,29,140,923,294,108.0,718,1182.0,0.286,0.343,0.398,0.741,94,3241,241.0,31,99.0,76.0,42.0,0
Willie Wells,1924,19,1948,43,1039,4471,3920,932,1292,830,257,65,140,873,160,0.0,487,0.0,0.33,0.407,0.535,0.943,152,2099,0.0,28,36.0,0.0,0.0,1
John Briggs,1964,20,1975,31,1366,4838,4117,601,1041,689,170,43,139,507,64,49.0,663,785.0,0.253,0.355,0.416,0.771,121,1714,54.0,5,22.0,30.0,47.0,0
Evan Gattis,2013,26,2018,31,706,2662,2443,299,605,338,116,12,139,410,3,3.0,167,575.0,0.248,0.3,0.476,0.775,111,1162,67.0,26,0.0,26.0,18.0,0
Monte Irvin,1938,19,1956,37,1044,4062,3523,580,1076,739,155,43,139,684,52,9.0,474,220.0,0.305,0.391,0.492,0.883,135,1734,81.0,29,24.0,11.0,26.0,1
Willie Montanez,1966,18,1982,34,1632,6407,5843,645,1604,1161,279,25,139,802,32,42.0,465,751.0,0.275,0.327,0.402,0.729,102,2350,162.0,24,10.0,65.0,103.0,0
David Segui,1990,23,2004,37,1456,5451,4847,683,1412,973,284,16,139,684,17,19.0,524,687.0,0.291,0.359,0.443,0.802,110,2145,131.0,14,19.0,45.0,56.0,0
Eddie Yost,1944,17,1962,35,2109,9177,7346,1215,1863,1331,337,56,139,682,72,66.0,1614,920.0,0.254,0.394,0.371,0.765,109,2729,133.0,99,98.0,18.0,26.0,0
Jose Cardenal,1963,19,1980,36,2017,7698,6964,936,1913,1396,333,46,138,775,329,137.0,608,807.0,0.275,0.333,0.395,0.728,103,2752,147.0,26,37.0,61.0,38.0,0
Roger Connor,1880,22,1897,39,1998,8847,7797,1620,2467,1655,441,233,138,1323,244,0.0,1002,455.0,0.316,0.397,0.486,0.883,153,3788,0.0,39,9.0,0.0,0.0,1
Matt Lawton,1995,23,2006,34,1334,5570,4763,756,1273,851,267,17,138,631,165,66.0,681,613.0,0.267,0.368,0.417,0.785,105,1988,113.0,94,2.0,30.0,34.0,0
Bill Mazeroski,1956,19,1972,35,2163,8379,7755,769,2016,1522,294,62,138,853,27,23.0,447,706.0,0.26,0.299,0.367,0.667,84,2848,194.0,20,87.0,70.0,110.0,1
Earl Williams,1970,21,1977,28,889,3431,3058,361,756,497,115,6,138,457,2,5.0,298,574.0,0.247,0.318,0.424,0.742,106,1297,103.0,32,12.0,31.0,31.0,0
Steve Buechele,1985,23,1995,33,1334,4790,4266,501,1046,705,183,21,137,547,17,28.0,408,842.0,0.245,0.316,0.394,0.71,94,1682,107.0,43,50.0,23.0,31.0,0
Darren Daulton,1983,21,1997,35,1161,4340,3630,511,891,532,197,25,137,588,50,10.0,629,726.0,0.245,0.357,0.427,0.784,114,1549,35.0,24,12.0,41.0,58.0,0
Alex Gonzalez,1994,21,2006,33,1396,5528,4977,623,1209,771,274,27,137,536,97,48.0,392,1165.0,0.243,0.302,0.391,0.694,79,1948,128.0,45,82.0,32.0,12.0,0
Eric Hinske,2002,24,2013,35,1387,4310,3797,549,947,552,240,18,137,522,61,21.0,452,949.0,0.249,0.332,0.43,0.762,99,1634,91.0,30,0.0,31.0,29.0,0
Trot Nixon,1996,22,2008,34,1092,4224,3627,579,995,608,222,28,137,555,30,13.0,504,689.0,0.274,0.364,0.464,0.828,112,1684,65.0,31,17.0,45.0,23.0,0
Rod Barajas,1999,23,2012,36,1114,3784,3460,396,812,488,187,1,136,480,2,2.0,207,638.0,0.235,0.284,0.407,0.691,79,1409,61.0,46,28.0,39.0,31.0,0
Carl Crawford,2002,20,2016,34,1716,7178,6655,998,1931,1363,309,123,136,766,480,109.0,377,1067.0,0.29,0.33,0.435,0.765,105,2894,79.0,47,34.0,48.0,24.0,0
Jack Fournier,1912,19,1927,34,1530,6034,5208,822,1631,1130,252,113,136,859,146,102.0,587,424.0,0.313,0.392,0.483,0.875,142,2517,0.0,89,149.0,0.0,19.0,0
Davey Johnson,1965,22,1978,35,1435,5465,4797,564,1252,856,242,18,136,609,33,25.0,559,675.0,0.261,0.34,0.404,0.744,110,1938,126.0,40,26.0,43.0,57.0,0
Hector Lopez,1955,25,1966,36,1450,5181,4644,623,1251,885,193,37,136,591,16,23.0,418,696.0,0.269,0.33,0.415,0.745,103,1926,136.0,23,48.0,44.0,24.0,0
Matt Nokes,1985,21,1995,31,902,2997,2735,310,695,459,96,4,136,422,8,7.0,200,395.0,0.254,0.308,0.441,0.75,106,1207,72.0,26,10.0,26.0,32.0,0
Aaron Rowand,2001,23,2011,33,1358,4817,4374,613,1193,772,267,18,136,536,67,30.0,261,914.0,0.273,0.33,0.435,0.765,99,1904,114.0,126,31.0,25.0,23.0,0
Ripper Collins,1931,27,1941,37,1084,4205,3784,615,1121,716,205,65,135,659,18,23.0,356,373.0,0.296,0.36,0.492,0.852,126,1861,60.0,23,42.0,0.0,38.0,0
Tony Gwynn,1982,22,2001,41,2440,10232,9288,1383,3141,2378,543,85,135,1138,319,125.0,790,434.0,0.338,0.388,0.459,0.847,132,4259,259.0,24,45.0,85.0,203.0,1
Travis Jackson,1922,18,1936,32,1656,6682,6086,833,1768,1256,291,86,135,929,71,70.0,412,565.0,0.291,0.337,0.433,0.77,102,2636,39.0,10,171.0,0.0,29.0,1
George McQuinn,1936,26,1948,38,1550,6597,5747,832,1588,1074,315,64,135,794,32,32.0,712,634.0,0.276,0.357,0.424,0.781,110,2436,78.0,8,130.0,0.0,59.0,0
Jim Presley,1984,22,1991,29,959,3818,3546,413,875,545,181,14,135,495,9,14.0,210,859.0,0.247,0.29,0.42,0.71,91,1489,104.0,19,12.0,31.0,18.0,0
Luke Scott,2005,27,2013,35,889,3193,2810,370,725,389,181,20,135,436,17,7.0,334,662.0,0.258,0.34,0.481,0.821,117,1351,46.0,26,0.0,23.0,33.0,0
Carlos Baerga,1990,21,2005,36,1630,5895,5439,731,1583,1153,279,17,134,774,59,24.0,291,580.0,0.291,0.332,0.423,0.754,100,2298,158.0,73,26.0,66.0,41.0,0
Derek Bell,1991,22,2001,32,1210,5068,4578,642,1262,881,232,15,134,668,170,51.0,377,955.0,0.276,0.336,0.421,0.757,100,1926,123.0,61,6.0,46.0,30.0,0
Paul Blair,1964,20,1980,36,1947,6673,6042,776,1513,1042,282,55,134,620,171,93.0,449,877.0,0.25,0.302,0.382,0.684,96,2307,126.0,23,108.0,51.0,23.0,0
John Buck,2004,23,2014,33,1090,4009,3612,389,844,529,172,9,134,491,6,12.0,307,959.0,0.234,0.301,0.398,0.698,86,1436,86.0,51,13.0,26.0,23.0,0
Mel Hall,1981,20,1996,35,1276,4575,4237,568,1171,783,229,25,134,620,31,22.0,267,575.0,0.276,0.318,0.437,0.755,107,1852,69.0,16,4.0,51.0,57.0,0
Tom Haller,1961,24,1972,35,1294,4520,3935,461,1011,693,153,31,134,504,14,30.0,477,593.0,0.257,0.34,0.414,0.753,114,1628,60.0,35,35.0,37.0,96.0,0
Eddie Joost,1936,20,1955,39,1574,6791,5606,874,1339,932,238,35,134,601,61,48.0,1043,827.0,0.239,0.361,0.366,0.727,99,2049,83.0,33,101.0,0.0,34.0,0
Mike Pagliarulo,1984,24,1995,35,1246,4317,3901,462,942,584,206,18,134,505,18,16.0,343,785.0,0.241,0.306,0.407,0.712,93,1586,79.0,29,16.0,28.0,46.0,0
Ernie Whitt,1976,24,1991,39,1328,4271,3774,447,938,613,176,15,134,534,22,26.0,436,491.0,0.249,0.324,0.41,0.734,99,1546,97.0,4,20.0,37.0,43.0,0
Mack Jones,1961,22,1971,32,1002,3584,3091,485,778,482,132,31,133,415,65,40.0,383,756.0,0.252,0.347,0.444,0.79,120,1371,49.0,77,15.0,18.0,31.0,0
Frank Malzone,1955,25,1966,36,1441,5869,5428,647,1486,1093,239,21,133,728,14,14.0,337,434.0,0.274,0.315,0.399,0.714,92,2166,165.0,17,31.0,55.0,26.0,0
Dale Long,1951,25,1963,37,1013,3431,3020,384,805,505,135,33,132,467,10,3.0,353,460.0,0.267,0.341,0.464,0.805,115,1402,76.0,7,7.0,39.0,39.0,0
Al Martin,1992,24,2003,35,1232,4688,4242,664,1172,772,220,48,132,485,173,65.0,390,879.0,0.276,0.339,0.444,0.783,103,1884,63.0,24,5.0,27.0,43.0,0
Juan Rivera,2001,22,2012,33,1058,3787,3471,425,950,632,182,4,132,539,17,26.0,253,448.0,0.274,0.323,0.443,0.766,102,1536,127.0,20,4.0,39.0,15.0,0
Cody Ross,2003,22,2015,34,1073,3806,3453,449,904,548,211,13,132,508,33,13.0,282,800.0,0.262,0.322,0.445,0.768,104,1537,77.0,40,4.0,27.0,18.0,0
Norm Siebern,1956,22,1968,34,1406,5269,4481,662,1217,841,206,38,132,636,18,25.0,708,748.0,0.272,0.369,0.423,0.792,118,1895,64.0,10,20.0,48.0,47.0,0
Zack Wheat,1909,21,1927,39,2410,10007,9106,1289,2884,2104,476,172,132,1248,205,73.0,650,572.0,0.317,0.367,0.45,0.817,129,4100,0.0,77,163.0,0.0,15.0,1
Wes Covington,1956,24,1966,34,1075,3291,2978,355,832,556,128,17,131,499,7,4.0,247,414.0,0.279,0.337,0.466,0.803,122,1387,73.0,24,16.0,26.0,51.0,0
Ken Harrelson,1963,21,1971,29,900,3364,2941,374,703,464,94,14,131,421,53,30.0,382,577.0,0.239,0.325,0.414,0.74,110,1218,95.0,6,12.0,23.0,33.0,0
Joe Kuhel,1930,24,1947,41,2104,9097,7984,1236,2212,1558,412,111,131,1049,178,90.0,980,612.0,0.277,0.359,0.406,0.765,104,3239,74.0,39,92.0,0.0,47.0,0
John Milner,1971,21,1982,32,1215,3985,3436,455,855,568,140,16,131,498,31,22.0,504,473.0,0.249,0.344,0.413,0.757,112,1420,87.0,10,7.0,28.0,45.0,0
Tommie Agee,1962,19,1973,30,1130,4324,3912,558,999,672,170,27,130,433,167,81.0,342,918.0,0.255,0.32,0.412,0.732,109,1613,99.0,34,21.0,15.0,26.0,0
Sean Casey,1997,22,2008,33,1405,5644,5066,690,1531,1067,322,12,130,735,18,8.0,477,577.0,0.302,0.367,0.447,0.814,109,2267,156.0,62,0.0,39.0,69.0,0
Coco Crisp,2002,22,2016,36,1586,6627,5930,877,1572,1077,308,57,130,639,309,79.0,561,865.0,0.265,0.327,0.402,0.729,96,2384,91.0,5,80.0,51.0,18.0,0
Mike Epstein,1966,23,1974,31,907,3393,2854,362,695,456,93,16,130,380,7,17.0,448,645.0,0.244,0.358,0.424,0.782,130,1210,53.0,70,3.0,18.0,43.0,0
Mike Greenwell,1985,21,1996,32,1269,5166,4623,657,1400,957,275,38,130,726,80,43.0,460,364.0,0.303,0.368,0.463,0.831,121,2141,136.0,39,3.0,41.0,79.0,0
Chase Headley,2007,23,2018,34,1436,5761,5088,637,1337,919,272,16,130,596,93,29.0,574,1298.0,0.263,0.342,0.399,0.742,106,2031,113.0,61,3.0,35.0,30.0,0
Steve Kemp,1977,22,1988,33,1168,4714,4058,581,1128,794,179,25,130,634,39,24.0,576,605.0,0.278,0.367,0.431,0.797,119,1747,114.0,19,13.0,48.0,25.0,0
Kenny Lofton,1991,24,2007,40,2103,9235,8120,1528,2428,1799,383,116,130,781,622,160.0,945,1016.0,0.299,0.372,0.423,0.794,107,3433,111.0,32,72.0,65.0,43.0,0
Willard Marshall,1942,21,1955,34,1246,4737,4233,583,1160,828,163,39,130,604,14,23.0,458,219.0,0.274,0.347,0.423,0.77,109,1791,109.0,13,29.0,2.0,45.0,0
Jorge Orta,1972,21,1987,36,1755,6458,5829,733,1619,1159,267,63,130,745,79,60.0,500,715.0,0.278,0.334,0.412,0.746,108,2402,125.0,29,33.0,67.0,46.0,0
Gary Ward,1979,25,1990,36,1287,4892,4479,594,1236,869,196,41,130,597,83,30.0,351,775.0,0.276,0.328,0.425,0.753,105,1904,152.0,13,14.0,35.0,28.0,0
Mike Macfarlane,1987,23,1999,35,1164,4047,3602,458,906,539,221,17,129,514,12,16.0,295,700.0,0.252,0.322,0.43,0.752,99,1548,79.0,97,10.0,39.0,17.0,0
